User_ID,Gender,Age,City,Country,Swipe_Count_Per_Day,Matches,Conversations,Meetings,Relationships,Active_Hour,Day_of_Week,Distance_Miles,Session_Time_Minutes
1,Male,30,Birmingham,UK,55,6,4,2,0,18,Monday,5.3,8
2,Male,27,Lyon,France,186,22,14,6,0,11,Saturday,3.1,32
3,Female,25,Houston,USA,111,14,9,5,0,17,Monday,8.4,84
4,Female,28,Hyderabad,India,167,11,5,2,0,3,Sunday,3.1,86
5,Female,29,Paris,France,88,10,7,2,0,15,Tuesday,3.1,86
6,Male,30,Birmingham,UK,195,16,12,3,0,13,Wednesday,9.2,77
7,Female,24,Chennai,India,184,17,10,3,0,21,Friday,2.6,22
8,Male,33,Chicago,USA,32,4,2,0,0,17,Thursday,4.9,37
9,Female,27,Dubai,UAE,49,5,3,1,0,21,Tuesday,9.6,38
10,Female,26,Abu Dhabi,UAE,65,6,3,1,0,15,Tuesday,2.0,72
11,Female,22,Houston,USA,112,15,11,4,0,10,Monday,42.7,73
12,Female,23,Phoenix,USA,188,18,12,4,0,19,Friday,37.6,44
13,Male,24,São Paulo,Brazil,152,14,8,2,0,15,Monday,6.5,34
14,Male,22,Los Angeles,USA,104,5,2,1,0,21,Tuesday,42.3,29
15,Male,24,Toronto,Canada,139,18,9,5,0,20,Sunday,20.0,29
16,Male,23,Phoenix,USA,128,8,5,3,0,10,Monday,31.7,6
17,Female,35,London,UK,124,12,6,2,0,21,Wednesday,41.4,41
18,Male,22,Dubai,UAE,162,18,12,4,0,18,Saturday,1.0,66
19,Male,28,Sydney,Australia,40,5,2,0,0,19,Friday,6.4,58
20,Male,24,Berlin,Germany,153,12,7,3,0,19,Saturday,28.3,14
21,Male,22,Houston,USA,38,3,2,0,0,19,Wednesday,4.7,74
22,Male,22,Munich,Germany,187,19,13,6,1,19,Wednesday,1.5,75
23,Male,26,Bangalore,India,72,8,6,3,0,0,Monday,43.2,10
24,Male,30,Abu Dhabi,UAE,53,6,3,1,0,18,Monday,8.9,24
25,Male,30,Phoenix,USA,130,8,4,2,0,12,Tuesday,36.7,50
26,Female,21,São Paulo,Brazil,124,18,13,8,0,19,Thursday,7.5,47
27,Female,20,Dubai,UAE,83,6,4,1,0,11,Tuesday,28.5,44
28,Female,30,Seoul,South Korea,78,5,3,1,0,20,Wednesday,26.0,73
29,Male,37,Mumbai,India,65,7,5,1,0,20,Thursday,30.5,54
30,Female,28,Manchester,UK,85,4,2,1,0,23,Saturday,24.6,13
31,Female,33,Paris,France,51,6,3,1,0,20,Friday,4.5,53
32,Male,23,São Paulo,Brazil,64,7,4,2,0,21,Sunday,6.7,64
33,Male,24,Singapore,Singapore,63,7,4,2,0,19,Saturday,8.2,23
34,Male,21,Birmingham,UK,141,15,11,5,0,17,Thursday,1.9,5
35,Female,33,Abu Dhabi,UAE,128,9,7,4,0,14,Thursday,4.9,72
36,Female,18,Munich,Germany,101,14,11,5,0,17,Tuesday,29.0,38
37,Female,29,Abu Dhabi,UAE,153,15,8,3,0,20,Wednesday,13.3,24
38,Male,23,Lyon,France,59,7,3,1,0,19,Sunday,9.1,79
39,Female,37,Berlin,Germany,117,11,9,3,0,13,Friday,31.9,82
40,Female,28,Montreal,Canada,76,5,3,1,0,23,Tuesday,46.8,84
